Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
"
103935,Basudeb Para,Village Panchayat,Dhalai,Ambassa,105247,1,Basudeb Para I North West Part of Basudeb Para,
103935,Basudeb Para,Village Panchayat,Dhalai,Ambassa,617305,2,Basudeb Para II East Part of Basudeb Para,??????? ???? II ?????  ??? ??????? ????
103935,Basudeb Para,Village Panchayat,Dhalai,Ambassa,617306,3,Basudeb Para III South West Part of Basudeb Para,??????? ???? III ??????? ????? ?????? ?????? ???
103935,Basudeb Para,Village Panchayat,Dhalai,Ambassa,617307,4,Basudeb Para IV Sudhangshu Ghosh Para Part of Sabdakar Para,??????? ???? IV ??????? ??? ???? ????? ?????  ???
103935,Basudeb Para,Village Panchayat,Dhalai,Ambassa,617308,5,Basudeb Para V Nabagram,??????? ???? V ???????
103940,East Nalicherra,Village Panchayat,Dhalai,Ambassa,107343,1,East Nalicherra I North Part of Harinmara,????? ????????? I ???????? ????? ?????
103940,East Nalicherra,Village Panchayat,Dhalai,Ambassa,617309,2,East Nalicherra II South Part of Harinmara,????? ????????? II ???????? ?????? ?????
103940,East Nalicherra,Village Panchayat,Dhalai,Ambassa,617310,3,East Nalicherra III East Part of Kulai Bazaar,????? ????????? III ????? ????? ????? ?????
103940,East Nalicherra,Village Panchayat,Dhalai,Ambassa,617311,4,East Nalicherra IV East Part of Sonaram Kobra Para and West Part of Kulai Bazaar,????? ????????? IV ?????? ??? ??????? ????? ???? ???? ??? ????? ????? ????? ?????
103940,East Nalicherra,Village Panchayat,Dhalai,Ambassa,617312,5,East Nalicherra V West Part of Sonaram Kobra Para Shashi Dutta Para and Part of Sabdakar Para,????? ????????? V ?????? ??? ??????? ????? ???? ??? ???? ????? ? ?????? ?????
103936,Kekmachera,Village Panchayat,Dhalai,Ambassa,85625,1,Kekmacherra I North Part of Ram Ratan Para,????????? I ??? ??? ????? ?????
103936,Kekmachera,Village Panchayat,Dhalai,Ambassa,617318,2,Kakmacherra II South Part of Ram Ratan Para,????????? II ??? ???  ?????? ?????
103936,Kekmachera,Village Panchayat,Dhalai,Ambassa,617319,3,Kakmacherra III North Part of Kakmacherra,????????? III ????? ????? ?????????
103936,Kekmachera,Village Panchayat,Dhalai,Ambassa,617320,4,Kakmacherra IV West Part of Kakmacherra,????????? IV ?????? ????? ?????????
103936,Kekmachera,Village Panchayat,Dhalai,Ambassa,617321,5,Kakmacherra V North Dalubari South Part of Kakmacherra,????????? V ????? ??????? ?????? ?????????
103937,Kulai,Village Panchayat,Dhalai,Ambassa,617313,1,Kulai I North Part of Thakur Palli,????? I ????? ????? ????? ?????
103937,Kulai,Village Panchayat,Dhalai,Ambassa,617314,2,Kulai II East Part of Thakur Palli,????? II ????? ????? ????? ?????
103937,Kulai,Village Panchayat,Dhalai,Ambassa,617315,3,Kulai III West Part of Thakur Palli,????? III ????? ????? ?????? ?????
103937,Kulai,Village Panchayat,Dhalai,Ambassa,617316,4,Kulai IV South Part of Thakur Palli and West Part of Netaji Nagar,????? IV ????? ????? ?????? ????? ??? ?????? ??? ?????? ?????
103937,Kulai,Village Panchayat,Dhalai,Ambassa,617317,5,Kulai V East Part of Netaji Nagar,????? V ?????? ??? ????? ?????
103941,North Nalicherra,Village Panchayat,Dhalai,Ambassa,91408,1,North Nalicherra I Lalmati Part of North West Sudharam Para and Bhumuhin Colony,????? ???????? I ????? ?????? ??????? ????? ? ??????? ????? ??????? ?????
103941,North Nalicherra,Village Panchayat,Dhalai,Ambassa,617301,2,North Nalicherra II East Part of Sudharam Para and North East Part of North Nalicherra,????? ???????? II ??????? ???????? ????? ????? ??? ????? ????? ????? ????? ????????
103941,North Nalicherra,Village Panchayat,Dhalai,Ambassa,617302,3,North Nalicherra III South East Part of Uttar Nalicherra,????? ???????? III ?????? ????? ????? ????? ????????
103941,North Nalicherra,Village Panchayat,Dhalai,Ambassa,617303,4,North Nalicherra IV North West Part of Shambhuram Para,????? ???????? IV ????? ?????? ??? ???????? ????
103941,North Nalicherra,Village Panchayat,Dhalai,Ambassa,617304,5,North Nalicherra V South East Part of Shambhuram Para,????? ???????? V ?????? ????? ??? ???????? ????
103938,West Balaram,Village Panchayat,Dhalai,Ambassa,102743,1,West Balaram I North Part of Das Para,?????? ????? I ????? ????? ??? ????
103938,West Balaram,Village Panchayat,Dhalai,Ambassa,617326,2,West Balaram II South Part of Das Para,?????? ????? II ?????? ????? ??? ????
103938,West Balaram,Village Panchayat,Dhalai,Ambassa,617327,3,West Balaram III North Part of Deb Para,?????? ????? III ????? ????? ??? ????
103938,West Balaram,Village Panchayat,Dhalai,Ambassa,617328,4,West Balaram IV South Part of Deb Para and Part of Bazaar Area,?????? ????? IV ?????? ?????  ??? ????
103938,West Balaram,Village Panchayat,Dhalai,Ambassa,617329,5,West Balaram V Part of Sashi Pal Para and Part of Bazaar Area,?????? ????? V ??? ??? ????? ??? ??? ????? ????? ???
103939,West Lalchari,Village Panchayat,Dhalai,Ambassa,91964,1,West Lalchari I North Part of Sashi Pal Para,?????? ?????? I ??? ??? ????? ????? ?????
103939,West Lalchari,Village Panchayat,Dhalai,Ambassa,617322,2,West Lalchari II South Part of Sashi Pal Para,?????? ?????? II ??? ??? ????? ?????? ?????
103939,West Lalchari,Village Panchayat,Dhalai,Ambassa,617323,3,West Lalchari III North Part of Jiten Deb Para,?????? ?????? III ????? ????? ????? ??? ????
